predict_pm25,predict_pm10,predict_no2,predict_co,predict_so2,predict_o3,predict_aqi,predict_temp,predict_hum
0.50035214,1.1985376,0.19003472,0.24969299,0.88993186,2.120304,2.0848005,25.899963,51.099834
0.7988213,1.300063,0.1999842,0.25973362,0.9099971,2.1786275,3.3284218,25.900124,51.00001
0.80169475,1.2999649,0.20993021,0.25973362,0.9099971,2.1397579,3.3403947,25.899635,51.00001
2.802645,4.002968,0.19003472,0.23987001,0.88993186,2.0597591,11.677687,25.899963,50.898727
4.000421,5.700095,0.19003472,0.23987001,0.8998581,2.1004345,16.66842,25.900124,50.80086
4.009706,5.700573,0.1999842,0.23987001,0.9099971,2.1010542,16.707108,25.900124,50.682285
3.3982801,4.598845,0.1999842,0.24964811,0.88993186,2.0396466,14.1595,25.899963,50.800556
2.298596,3.1007006,0.20993021,0.24969299,0.2802449,2.1191645,9.577482,25.899475,50.698563
0.79976344,0.8996146,0.19003472,0.2399149,0.25195375,2.0801075,3.3323476,25.899963,50.60127
0.7010563,0.7207214,0.1999842,0.222407,0.22134137,1.9676865,2.9210677,25.899963,50.69614
0.7106198,0.71321625,0.19003472,0.2399149,0.27818632,2.0425367,2.9609158,25.899963,50.69939
0.49906155,0.5002834,0.19003472,0.23006429,0.37990683,2.0797527,2.079423,25.899963,50.99969
0.70100826,0.6998883,0.1999842,0.2399149,0.21988884,1.9704165,2.9208677,25.899963,51.098705
1.298516,1.4010117,0.19003472,0.23006429,0.210338,2.0183074,5.4104834,25.899963,51.099968
2.2006068,3.0992486,0.1999842,0.23006429,0.18909886,2.0304935,9.169195,25.899963,51.000095
2.8927424,4.551543,0.19003472,0.21015215,0.17796063,1.9605645,12.053093,25.899963,50.812035
3.3745837,4.624247,0.19003472,0.22236212,0.17796063,2.005596,14.060765,25.899963,50.698746
2.900405,4.499941,0.1999842,0.2300194,0.18909886,2.030402,12.08502,25.899963,50.80043
1.9879682,2.2005544,0.19003472,0.222407,0.17159921,1.9156902,8.2832,25.899963,50.813286
0.7850265,0.9608053,0.20993021,0.2209094,0.89901525,2.011679,3.2709436,25.899635,50.81068
2.6009588,2.8988276,0.1999842,0.22086452,0.8999213,2.010648,10.837328,25.900124,50.600826
5.2992325,5.799674,0.19003472,0.22086452,0.8800003,1.912891,22.080135,25.899963,50.3987
8.600624,9.600615,0.19003472,0.2203472,0.9100603,1.989429,35.835934,25.901552,50.200363
9.300259,10.399902,0.1999842,0.22046266,0.8999213,1.8481406,38.751076,25.899494,50.102158
